number,country,city,location,address,latitude,longitude
189,Franța,Ambilly/Annemasse,Altele,"2 rue de la Martiniere, 74100  Ambilly",46.1996802,6.2245305
190,Franța,Saint-Martin-d'Héres/Grenoble,Altele,"10 place Paul Eluard, 38400  Saint-Martin-d`Heres",45.1654973,5.7478075
191,Franța,Marsilia,Altele,"World Trade Center, 2 rue Henri Barbusse, 13001 Marseille",43.29862,5.37461
192,Franța,Marsilia,Altele,"World Trade Center, 2 rue Henri Barbusse, 13001 Marseille",43.29862,5.37461
193,Franța,Marignane,Altele,"Salle Jules Raimu, Place Compte de Grasse, 13700 Marignane",43.43152262,5.18962485
194,Franța,Antibes,Altele,"Salle Pollyvalente du 8 Mai,  Square du 8 Mai 1945, 06600  Antibes (Prés des  Pecheurs/lânga Grand Roue)",43.58351078,7.12498787
195,Franța,Nisa,Altele,"Service Elections, 4 Rue Ribotti,  06300 Nice",43.70215184,7.28397631
196,Franța,Nisa,Altele,"Service Elections, 4 Rue Ribotti,  06300 Nice",43.70210894,7.28397814
197,Franța,Montpellier,Altele,"Maison des Relations  Internationales Nelson Mandela,  14 Descent en Barrat, 34000 Montpellier (Esplanade Charles de Gaulle)",43.61336793,3.88048448
198,Franța,Toulouse,Altele,"Espace Francois Laffont, 1 Rue Leon Jouhaux, 31500 Toulouse",43.61317132,1.46063222
199,Franța,Bastia (Corsica),Altele,"Centre culturel (Centru cultural)  Alb`Oru, 13 Rue Saint-Exupery,  20600 Bastia",42.67769064,9.44092491
200,Franța,Ajaccio (Corsica),Altele,"Salle de réunion DGA, 73 cours Napoleon, 20000 Ajaccio",41.92716936,8.73832304
201,Franța,Strasbourg,Consulat General,"41 rue Schweighaeuser, 67000  Strasbourg",48.58841,7.76912
202,Franța,Strasbourg,Consulat General,"41 rue Schweighaeuser, 67000  Strasbourg",48.58841,7.76912
203,Franța,Colmar,Altele,"Parc des Expositions, avenue de la Foire aux Vins, 68000 Colmar",48.09865055,7.35986291
204,Franța,Nancy,Altele,"Domaine de l`Asnee, 11 rue de  Laxou, 54600 Villers-les-Nancy",48.67438967,6.14303667
205,Georgia,Tbilisi,Ambasadă,"Strada Lvovi nr. 7, cartier  Saburtalo, Tbilisi, cod poștal 0160",41.73243,44.76635
206,Germania,Berlin,Ambasadă,"Dorotheenstr.62-66, cod poștal 10117, Berlin",52.51883026,13.386567
207,Germania,Berlin,Ambasadă,"Dorotheenstr.62-66, cod poștal 10117, Berlin",52.51883026,13.386567
208,Germania,Berlin,Ambasadă,"Dorotheenstr.62-66, cod poștal 10117, Berlin",52.51877026,13.38660103
209,Germania,Braunschweig,Altele,"Ludwig-Winter-Straße 4, cod poștal 38120 Braunschweig",52.24886801,10.48959735
210,Germania,Bremen,Altele,"An der Weide 50 A, cod poștal 28195, Bremen",53.08143,8.81521
211,Germania,Dresden,Altele,"Dr. Külz-Ring 19, cod poștal 01067, Dresda",51.04771354,13.73951248
212,Germania,Erfurt,Altele,"Leipziger Straße 15, cod poștal 99085, Erfurt",50.98259754,11.04156751
