"Level1","Level2","Level3","Level4","Level5","Nationals","ForeignResidents","Address"
"4A",,,,,7,,"Esc. Nº7 ""Dolores Lavalle de Lavalle"" - Zavaleta 204"
"4A",,,,,4,,"Esc. Nº18 ""Reino de Suecia"" - Juan Carlos Gómez 253"
"4A",,,,,4,,"Esc. Nº18 ""Juan E. Pestalozzi"" - Av. Caseros 2152"
"4A",,,,,4,6,"Inst. La Inmaculada - Patagones 2759 / s/n"
"4D",,,,,10,5,"Esc. Nº11 ""Rep. de Haití"" - Lafayette 1879"
"4D",,,,,9,23,"Esc. Nº10 “Estanislao de Zavaleta” - Iguazú 1110"
"4D",,,,,10,7,"Inst. Sagrado Corazón - California 3018"
"4A",,,,,4,,"Esc. Nº25 ""Marcos Paz"" - Av. Amancio Alcorta 2502"
"4A",,,,,11,6,"ITBA - Sede Parque Patricios - Los Patos 2802"
"4D",,,,,13,10,"Inst. Nuestra Sra. del Buen Consejo - Santa Maria del Buen Ayre 953"
"4D",,,,,4,,"Esc. Nº8 ""Carlos Norberto Vergara"" - Av. Amancio Alcorta 1934"
"4D",,,,,4,,"Esc. Nº28 ""Francisco P. Moreno"" - José A. Salmun Feijoo 1073"
"4D",,,,,8,,"Esc. Nº5 ""Gral. Martín M. de Güemes"" - Arcamendia 743"
"4D",,,,,3,,"Esc. Nº5 ""Gral. Martín M. de Güemes"" - Arcamendia 793"
"4D",,,,,4,,"Centro CENTES Nº1 - Dr. Ramón Carrillo 317"
"4D",,,,,3,5,"Esc. Nº10 ""Fray Luis Beltrán"" - Vieytes 942"
"4D",,,,,4,,"Colegio Parroquial Santa Elisa - Salta 2290 / Ambrosio Olmos 1257"
"4D",,,,,3,,"Esc. Nº25 ""Arzobispo Mariano A. Espinoza"" - Av. Montes de Oca 807"
"4D",,,,,7,,"Inst. Santa María del Rosario - Herrera 575"
"4D",,,,,4,5,"Esc. Nº13 ""Fray Mamerto Esquiú"" - Salom 332"
"4D",,,,,4,,"Esc. Nº24 ""Pte. Derqui"" - California 1925 / s/n"
"4D",,,,,4,,"Jardín de infantes N°2 ""Antonio Aberastain"" - San Antonio 1136"
"4D",,,,,4,,"Esc N°27 ""Manuel de Sarratea"" - Vieytes 1469"
"4D",,,,,4,,"Esc N°9 ""José P. Varela"" - Luzuriaga 1571"
"4D",,,,,5,,"Esc. Nº20 ""Nieves Escalada de Oromi"" - San Antonio 682 / s/n"
"4D",,,,,4,,"Centro de Formación Profesional N°1 - Rio Cuarto 1993"
"4D",,,,,5,,"Colegio Cruz del Sur - Rio Cuarto 2560 / 2562"
"4D",,,,,6,5,"Esc. Nº7 ""Juan de Garay"" - Av. Caseros 734"
"4D",,,,,10,,"Esc. de Bellas Artes Manuel Belgrano - Wenceslao Villafañe 1342"
"4D",,,,,7,,"Esc. Nº3 ""Bernardo de Irigoyen"" - Av. Montes de Oca 439"
"4D",,,,,6,,"Esc. Nº4 ""Rep. del Líbano"" - Av. Montes de Oca 121"
"4D",,,,,11,,"Esc. Nº1 ""Rep. de Bolivia"" - Gral. Hornos 530"
"4D",,,,,4,3,"Inst. Santa Felicitas - Pinzón 1480"
"4D",,,,,11,,"Inst. Zaccaría - Av. Montes de Oca 1844"
